,estacion,link,localidad,latitud,longitud,temp_C,lluvia_acumulada_mm,razon_lluvia,HR,vel_viento,dir_viento,racha_viento,letra_dir,acum_calc,lluvia_1hr_calc,intensidad_lluvia,REGIÓN_2,MPO_2,UMBRAL,azul_ini,azul_end,verde_ini,verde_end,amarillo_ini,amarillo_end,naranja_ini,naranja_end,rojo_ini
76,IPUERT188,https://www.wunderground.com/dashboard/pws/IPUERT188,Puerto Vallarta,20.596,-105.236,25.3,7.11,0.0,96.0,0.0,164.0,0.0,SSE,7.11,0.0,5,SIERRA COSTA-OCCIDEN,Puerto Vallarta,151.0,0.0,37.75,37.85,75.5,75.6,113.25,113.35,151.0,151.1
77,IPUERTOV6,https://www.wunderground.com/dashboard/pws/IPUERTOV6," Puerto Vallarta, Versalles",20.634495,-105.227715,26.9,5.33,0.0,89.0,0.0,148.0,1.6,SSE,4.82,0.0,5,SIERRA COSTA-OCCIDEN,Puerto Vallarta,151.0,0.0,37.75,37.85,75.5,75.6,113.25,113.35,151.0,151.1
78,IQUITU1,https://www.wunderground.com/dashboard/pws/IQUITU1,Quitupan,19.925406,-102.868581,18.4,9.32,3.48,95.0,1.8,203.0,4.0,SSW,9.32,0.23000000000000043,1,SURESTE,Quitupan,77.0,0.0,19.25,19.35,38.5,38.6,57.75,57.85,77.0,77.1
79,ISANAN110,https://www.wunderground.com/dashboard/pws/ISANAN110,San Antonio Tlayacapan,20.294196,-103.218752,20.4,7.87,0.0,91.0,3.2,248.0,4.7,WSW,7.87,0.0,5,SURESTE,Chapala,83.0,0.0,20.75,20.85,41.5,41.6,62.25,62.35,83.0,83.1
80,ISANAN119,https://www.wunderground.com/dashboard/pws/ISANAN119,San Antonio Tlayacapan,20.304,-103.241,19.7,0.0,0.0,92.0,3.1,266.0,3.9,W,0.0,0.0,5,SURESTE,Chapala,83.0,0.0,20.75,20.85,41.5,41.6,62.25,62.35,83.0,83.1
81,ISANFR63,https://www.wunderground.com/dashboard/pws/ISANFR63,San Francisco del Rincón,20.967906,-101.817494,18.8,0.0,0.0,84.0,9.7,225.0,9.7,SW,0.0,0.0,5,,,,,,,,,,,,
82,ISANGA18,https://www.wunderground.com/dashboard/pws/ISANGA18,San Gabriel,19.731937,-103.736303,19.3,0.0,0.0,93.0,1.6,317.0,3.2,NW,0.0,0.0,5,SUR,San Gabriel,85.0,0.0,21.25,21.35,42.5,42.6,63.75,63.85,85.0,85.1
83,ISANGABR2,https://www.wunderground.com/dashboard/pws/ISANGABR2,,,,,,,,,,,,0.0,0.0,5,SUR,San Gabriel,85.0,0.0,21.25,21.35,42.5,42.6,63.75,63.85,85.0,85.1
84,ISANJU139,https://www.wunderground.com/dashboard/pws/ISANJU139,San Juan de los Lagos,21.237469,-102.324089,19.8,0.0,0.0,72.0,1.6,92.0,6.4,E,0.0,0.0,5,ALTOS NORTE,San Juan de los Lagos,73.0,0.0,18.25,18.35,36.5,36.6,54.75,54.85,73.0,73.1
85,ISANJU342,https://www.wunderground.com/dashboard/pws/ISANJU342,San Juanito de Escobedo,20.799,-104.004,21.8,0.0,0.0,84.0,11.2,167.0,13.0,SSE,0.0,0.0,5,VALLES,San Juanito de Escobedo,82.0,0.0,20.5,20.6,41.0,41.1,61.5,61.6,82.0,82.1
